x,y,time
503.5,131.5,16
503.0,132.5,17
502.5,132.5,18
502.5,132.5,19
502.5,132.0,20
502.5,132.5,21
502.5,133.0,22
502.5,132.5,23
502.0,133.0,24
502.0,133.0,25
502.5,133.0,26
502.5,133.0,27
502.0,132.5,28
502.0,132.5,29
502.0,132.5,30
502.0,133.0,31
502.0,133.0,32
502.0,132.5,33
502.0,132.5,34
502.0,132.5,35
502.0,132.5,36
502.0,132.0,37
502.0,132.0,38
502.0,132.5,39
502.0,132.5,40
501.5,132.5,41
501.5,132.5,42
501.5,132.5,43
501.5,132.5,44
501.5,133.0,45
500.0,135.5,46
498.0,137.0,47
496.0,141.5,48
494.0,148.5,49
488.0,156.5,50
466.5,192.5,51
501.5,153.5,51
448.0,207.0,52
426.5,220.0,53
402.0,231.5,54
374.5,242.5,55
344.5,250.0,56
312.5,255.0,57
280.5,256.5,58
249.0,254.5,59
218.0,250.0,60
188.0,242.5,61
162.0,232.5,62
137.5,221.5,63
116.0,209.0,64
98.0,196.5,65
83.0,184.5,66
70.5,174.0,67
61.5,164.5,68
54.5,157.0,69
49.5,151.5,70
47.0,148.5,71
47.0,148.5,72
49.0,151.5,73
53.5,156.5,74
60.5,163.5,75
70.5,173.5,76
83.0,184.5,77
99.5,197.0,78
119.5,210.5,79
143.0,222.5,80
169.5,234.0,81
199.0,243.5,82
230.5,250.0,83
263.0,254.0,84
295.5,254.0,85
327.5,252.0,86
358.0,246.0,87
386.0,237.5,88
411.5,227.5,89
433.0,216.5,90
452.0,204.5,91
468.0,192.5,92
480.5,182.5,93
490.5,172.5,94
496.0,165.0,95
498.0,159.5,96
499.5,155.5,97
499.5,154.5,98
499.0,156.5,99
497.0,160.5,100
494.5,166.5,101
485.5,175.0,102
474.5,185.0,103
461.0,196.5,104
444.5,208.5,105
424.0,220.5,106
401.0,232.0,107
376.0,242.0,108
347.5,249.5,109
317.5,254.5,110
286.5,256.5,111
255.5,255.5,112
225.0,251.5,113
196.0,244.5,114
169.0,235.0,115
143.5,224.5,116
121.5,212.5,117
103.0,200.0,118
87.0,188.0,119
73.5,177.0,120
63.5,167.0,121
56.0,159.0,122
51.0,153.5,123
48.0,150.5,124
47.0,149.5,125
49.0,151.5,126
54.0,156.5,127
60.5,163.5,128
70.5,172.5,129
83.5,183.5,130
100.0,196.0,131
119.5,208.5,132
143.0,221.5,133
169.0,232.5,134
197.5,242.0,135
228.5,249.0,136
259.5,254.0,137
291.0,255.0,138
322.5,253.0,139
351.5,248.0,140
379.0,240.5,141
403.0,231.5,142
424.5,221.5,143
442.5,211.0,144
457.0,200.0,145
470.0,190.0,146
479.0,181.0,147
486.0,173.5,148
491.0,168.0,149
493.5,164.0,150
494.0,163.0,151
492.5,164.0,152
489.0,168.0,153
483.5,173.5,154
475.5,181.0,155
465.5,190.0,156
452.5,200.5,157
437.0,211.5,158
418.5,222.5,159
396.5,233.5,160
373.0,242.5,161
346.0,249.5,162
317.5,254.5,163
287.5,256.5,164
257.5,255.5,165
228.0,251.5,166
200.0,245.0,167
173.0,236.0,168
148.0,225.0,169
125.5,213.0,170
106.5,201.0,171
90.5,189.0,172
