x,y,time
499.0,18.5,130
499.0,23.5,131
498.0,28.5,132
497.0,34.5,133
496.5,40.0,134
496.0,44.5,135
496.0,48.5,136
495.5,51.5,137
495.0,54.5,138
494.5,57.0,139
494.0,59.5,140
493.5,62.0,141
493.0,64.0,142
492.5,66.0,143
492.0,68.0,144
491.0,69.5,145
490.5,71.0,146
490.0,72.5,147
489.5,74.0,148
489.5,75.5,149
489.0,76.5,150
488.5,77.5,151
488.0,79.0,152
488.0,80.0,153
487.5,81.0,154
487.0,82.5,155
487.0,84.0,156
487.0,85.5,157
487.0,86.5,158
487.0,88.0,159
487.0,89.0,160
487.0,90.0,161
487.0,90.5,162
487.5,91.5,163
487.5,92.0,164
487.5,92.5,165
487.5,93.0,166
488.0,93.5,167
488.0,94.0,168
488.0,94.5,169
488.5,95.0,170
488.5,95.5,171
488.5,96.5,172
488.5,97.0,173
489.0,97.5,174
488.5,98.0,175
488.5,98.5,176
488.0,99.0,177
488.0,99.5,178
487.5,99.5,179
487.0,100.0,180
486.5,100.5,181
486.0,101.0,182
486.0,101.0,183
485.5,101.5,184
485.5,101.5,185
485.5,101.5,186
485.5,102.0,187
485.5,102.0,188
485.0,102.0,189
485.0,102.0,190
485.0,102.0,191
484.5,102.0,192
484.5,102.0,193
484.5,102.5,194
484.5,102.5,195
484.5,102.5,196
484.5,102.5,197
484.5,102.5,198
484.5,102.5,199
484.5,102.5,200
484.5,102.5,201
484.5,102.5,202
484.5,102.5,203
484.5,102.5,204
484.5,102.5,205
484.5,102.5,206
484.5,102.5,207
483.5,103.0,208
482.0,104.5,209
478.5,106.5,210
454.5,201.5,211
488.0,94.5,211
444.0,209.5,212
489.5,94.5,212
430.5,217.5,213
490.5,94.5,213
414.0,224.5,214
491.0,93.5,214
396.0,233.5,215
491.0,93.0,215
375.5,240.5,216
491.0,91.5,216
353.0,246.5,217
490.5,90.0,217
329.5,251.5,218
490.0,87.5,218
304.5,254.0,219
489.0,85.0,219
279.5,255.0,220
488.0,82.5,220
255.0,254.0,221
486.5,79.0,221
231.5,251.0,222
482.0,75.0,222
209.0,247.5,223
478.0,70.5,223
187.0,241.0,224
473.5,65.5,224
169.0,234.0,225
469.5,60.0,225
152.0,227.0,226
465.0,54.5,226
138.0,220.0,227
460.5,48.5,227
125.5,213.0,228
456.5,42.0,228
115.5,207.0,229
452.5,35.0,229
108.0,202.0,230
450.0,28.0,230
103.0,198.0,231
445.0,20.0,231
99.5,196.0,232
439.0,11.5,232
98.5,195.0,233
100.0,195.5,234
103.0,198.0,235
108.0,202.0,236
116.0,207.0,237
126.0,214.0,238
139.0,221.0,239
154.0,228.0,240
171.0,235.0,241
189.5,242.0,242
212.5,247.0,243
235.0,252.0,244
259.0,254.0,245
283.5,255.0,246
308.5,253.5,247
332.0,250.5,248
355.5,246.0,249
376.5,240.0,250
396.0,233.5,251
413.0,225.5,252
429.0,218.5,253
441.5,211.5,254
451.5,204.5,255
459.5,199.5,256
465.0,195.5,257
469.0,192.5,258
470.0,191.5,259
469.0,192.5,260
465.5,195.5,261
459.5,199.5,262
451.5,204.5,263
440.5,211.0,264
428.0,218.5,265
412.5,226.0,266
394.5,234.0,267
374.0,241.0,268
353.0,246.5,269
329.5,251.5,270
305.0,254.0,271
281.0,255.0,272
256.5,254.0,273
233.5,252.0,274
211.0,247.5,275
189.5,242.5,276
171.5,235.5,277
155.0,228.5,278
140.5,222.0,279
128.5,215.0,280
118.5,209.0,281
111.0,204.0,282
105.5,200.5,283
102.0,198.0,284
101.0,197.0,285
102.0,198.0,286
105.0,200.0,287
110.5,203.5,288
117.5,208.5,289
127.5,214.5,290
140.0,221.5,291
154.0,228.5,292
171.0,235.5,293
189.5,242.0,294
211.0,247.5,295
233.5,252.0,296
256.5,254.0,297
280.5,255.0,298
305.0,254.0,299
328.5,251.5,300
351.5,247.0,301
372.5,241.5,302
391.5,234.5,303
409.0,227.5,304
424.0,220.5,305
436.5,213.5,306
447.5,207.5,307
455.5,201.5,308
461.5,197.5,309
464.5,195.5,310
466.5,194.5,311
465.5,195.0,312
462.0,197.5,313
456.5,201.5,314
448.5,206.5,315
438.5,213.0,316
425.5,220.0,317
410.5,227.0,318
393.0,235.0,319
373.5,241.0,320
352.5,247.0,321
329.5,251.5,322
306.5,254.5,323
282.0,255.5,324
258.0,254.0,325
235.5,252.0,326
213.5,248.0,327
192.5,243.0,328
175.0,237.0,329
158.5,230.0,330
144.0,223.5,331
132.0,217.5,332
122.5,211.5,333
114.5,206.5,334
109.0,203.0,335
106.0,200.5,336
104.5,199.5,337
105.5,200.0,338
108.5,202.0,339
113.5,206.0,340
121.0,210.5,341
130.5,216.0,342
142.5,223.0,343
157.0,229.5,344
174.0,236.5,345
191.5,242.5,346
213.0,248.0,347
234.5,251.5,348
258.0,254.5,349
281.0,255.0,350
305.0,253.5,351
328.0,251.5,352
350.5,247.0,353
371.0,241.5,354
390.0,235.5,355
407.5,228.5,356
422.0,221.5,357
435.0,214.5,358
445.5,208.5,359
453.0,203.5,360
459.0,199.5,361
462.5,197.0,362
464.0,196.5,363
463.0,196.5,364
460.0,199.0,365
454.5,202.5,366
446.5,208.5,367
436.5,214.0,368
423.5,221.0,369
409.0,228.0,370
392.0,235.0,371
372.0,241.5,372
352.0,247.0,373
329.0,251.5,374
306.0,254.5,375
282.5,255.5,376
259.5,254.5,377
236.5,252.0,378
216.0,248.0,379
195.5,243.5,380
177.0,237.5,381
161.0,231.0,382
147.0,225.0,383
135.5,219.0,384
125.5,213.0,385
117.5,208.5,386
112.5,205.0,387
109.0,203.0,388
107.5,202.0,389
108.5,203.0,390
111.5,205.0,391
117.0,208.0,392
124.5,213.0,393
134.5,218.0,394
146.5,224.5,395
160.5,231.0,396
177.0,237.5,397
195.5,243.5,398
216.0,248.0,399
237.5,252.0,400
259.5,254.5,401
283.0,255.5,402
306.0,254.0,403
329.0,251.5,404
351.0,247.5,405
371.0,242.0,406
390.0,236.0,407
406.5,229.0,408
421.0,222.5,409
